#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
100,-403018.62027223455,100.85372598783302,237.98045607433852
200,-390021.17007692205,164.7318207950125,237.98045607433852
300,-381651.89761598455,207.69936743012977,237.98045607433852
400,-375316.87906129705,237.94864361317104,237.98045607433852
500,-370966.30679567205,255.31483336474975,237.98045607433852
600,-367413.14956910955,269.5886652041005,237.98045607433852
700,-365473.58609254705,278.42872036953355,237.98045607433852
800,-363605.92886598455,287.46996725229064,237.98045607433852
900,-362120.72183473455,290.6110477160896,237.98045607433852
1000,-361418.62222535955,290.7268178030985,237.98045607433852
1100,-360200.31070192205,289.6009214253462,237.98045607433852
1200,-360526.23453004705,295.33099986303165,237.98045607433852
1300,-359510.86148317205,293.61387799766175,237.98045607433852
1400,-358967.53238160955,296.826383569077,237.98045607433852
1500,-359025.32828004705,299.46348928997446,237.98045607433852
1600,-358175.11050660955,297.9423145297749,237.98045607433852
1700,-358396.08218629705,302.2759280466953,237.98045607433852
1800,-357517.02066285955,295.2666503010359,237.98045607433852
1900,-358507.43960817205,303.0110631400673,237.98045607433852
2000,-358813.24136598455,299.1417568616915,237.98045607433852
2100,-359096.41714723455,301.7565248315783,237.98045607433852
2200,-358704.68179567205,299.30828623045073,237.98045607433852
2300,-358842.72183473455,298.34737593386427,237.98045607433852
2400,-358722.26870973455,300.8943510301743,237.98045607433852
2500,-358701.98941285955,301.25464433831576,237.98045607433852
2600,-358512.60269410955,302.0623709895625,237.98045607433852
2700,-358903.81460817205,300.71616660308194,237.98045607433852
2800,-358504.53433473455,300.18691271323314,237.98045607433852
2900,-358785.44742067205,302.67504247548715,237.98045607433852
3000,-358391.97085817205,301.8506064073739,237.98045607433852
3100,-358680.64175660955,301.93196487053086,237.98045607433852
3200,-358091.44449098455,299.75380659254677,237.98045607433852
3300,-357862.29410035955,301.2169255333863,237.98045607433852
3400,-357902.81265504705,302.53446579617633,237.98045607433852
3500,-357670.03531129705,299.07668144460763,237.98045607433852
3600,-357886.46890504705,301.00271396360245,237.98045607433852
3700,-358549.33999879705,303.51561732627005,237.98045607433852
3800,-358231.44058473455,303.6336571278054,237.98045607433852
3900,-357556.97964723455,299.5687379284752,237.98045607433852
4000,-358433.21695192205,300.3076792420742,237.98045607433852
4100,-358594.81460817205,300.93889830556185,237.98045607433852
4200,-358612.91812379705,298.1666361566326,237.98045607433852
4300,-358536.05288942205,300.13589571970294,237.98045607433852
4400,-358375.70913942205,299.73275211936607,237.98045607433852
4500,-358355.70328004705,301.4122576076669,237.98045607433852
4600,-358195.72378785955,299.8096798694432,237.98045607433852
4700,-358719.41714723455,299.4474271682268,237.98045607433852
4800,-358956.32437379705,299.2851366979937,237.98045607433852
4900,-359141.49527223455,305.3073589340829,237.98045607433852
5000,-358118.04605348455,301.02996601254483,237.98045607433852
5100,-358635.39663942205,298.7446247343712,237.98045607433852
5200,-359138.20132692205,302.80011768541226,237.98045607433852
5300,-357803.78921754705,300.3339758642891,237.98045607433852
5400,-357017.44839723455,299.6721526993191,237.98045607433852
5500,-357890.63003785955,302.59292150386904,237.98045607433852
5600,-357114.77652223455,297.55195321549263,237.98045607433852
5700,-357871.21402223455,302.7611687904002,237.98045607433852
5800,-357854.45718629705,300.08155517282154,237.98045607433852
5900,-357407.71988160955,298.2569703256386,237.98045607433852
6000,-358035.32437379705,299.7711017083371,237.98045607433852
6100,-357882.14370973455,300.2484667547564,237.98045607433852
6200,-358455.57730348455,302.06708735805006,237.98045607433852
6300,-358482.59585817205,305.1601274888094,237.98045607433852
6400,-357198.79995973455,298.4186709271756,237.98045607433852
6500,-357887.62320192205,301.8867688246794,237.98045607433852
6600,-358012.83218629705,302.3252058116598,237.98045607433852
6700,-357903.17691285955,297.8832872695902,237.98045607433852
6800,-357996.61245973455,299.98172705621005,237.98045607433852
6900,-358291.91910035955,299.2509277715374,237.98045607433852
7000,-358704.23355348455,303.7202711474338,237.98045607433852
7100,-358011.36148317205,299.36925816592816,237.98045607433852
7200,-357910.22867067205,300.13485487162905,237.98045607433852
7300,-358787.37027223455,301.5631823186413,237.98045607433852
7400,-358598.57144410955,300.24549461395327,237.98045607433852
7500,-359359.34097535955,301.32211160074837,237.98045607433852
7600,-358363.54117067205,300.0651330695408,237.98045607433852
7700,-358081.87027223455,298.5578863627745,237.98045607433852
